Abbott, George Manlove|George Abbott
Burns, William Joseph|Joseph Burns

Burns, William Joseph|William Burns

Burroughs, John Andrew, Jr.|John Burroughs

Burrows, Charles Robert|Charles

Burt, Richard R.|Richard Burt

Burton, Phillip|Philip Brown

Burton, Phillip|Phillip Burton

Bustamante, Alexander|Alexander Bustamante

Butler, Charles Frederick|Charles

Butler, Richard (“Rab”) Austen|Richard Butler

Butler, Richard (“Rab”) Austen|Richard Butler

Butler, Richard William|Richard Butler

Butler, Richard William|Richard Butler

Butler, Richard William|William Butler

Butler, Robert|Robert Butler

Butler, Robert|Robert L. Butler

Butler, Robert|Robert R. Butler

Butler, William J.|William Butler

Byrne, Thomas Ryan|Thomas Ryan

Byrne, Thomas Ryan|Thomas Ryan

Byrnes, James Francis|James Byrnes

Cabell, Charles Pearre|Charles

Cabot, Louis|Louis

Cadwalader, John Lambert|John Cadwalader

Caetano, Marcelo Jose das Neves Alves|Marcelo Caetano

Café Filho, João|Café Filho

Caillaux, Joseph Marie Auguste|Joseph Caillaux

Caillaux, Joseph Marie Auguste|Joseph Marie

Cain, James|Jamie Cann

Cairns, Jim|Jim Cairns

Caldera Rodriguez, Rafael|Rafael Caldera

Caldwell, John Watson|John Watson

Caldwell, John Watson|John Watson

Calfa, Marian|Marián Čalfa

Callejas, Rafael Leonardo|Rafael Leonardo Callejas Romero

Calles, Plutarco Elías|Plutarco Elías Calles

