Abbott, George Manlove|George Abbott

Albert|Albert Sleeper

Albert|Albert Smith

Albert|Albert Smith

Albert|Albert Smith White

Albert|Albert Solomon

Albert|Albert Spicer

Albert|Albert Strohschein

Albert|Albert T. Dunn

Albert|Albert Tévoédjrè

Albert|Albert Thompson

Albert|Albert Van Zetten

Albert|Albert Victor Waters

Albert|Albert Vorkeller

Albert|Albert W. Gilchrist

Albert|Albert W. Johnson

Albert|Albert Walker

Albert|Albert Willis

Albert|Albert Wilson

Albert|Albert Woodworth

Albert|Albert Wren

Albert|Albert Wynn

Albert|Albert Zenophile Aubin

Albert|Charles Albert Creery Hardy

Albert|Charles Albert Plumley

Albert|Elgin Albert Munro

Albert|George Albert Huff

Albert|George Albert Marchant

Albert|George Albert Mcguire

Albert|George Albert Routledge

Albert|Hédard Albert

Albert|J. Albert Richardson

Albert|James Albert Cross

Albert|James Albert Faulkner

Albert|Jan Albert Hendrik Hugenholz

Albert|John Albert Dowd

Albert|John Albert Johnson

Albert|John Albert Sheppard

Albert|Joseph Albert Bélanger

Albert|Joseph Albert Mcclure

Albert|Sir Albert Bennett

Albert|Victor Albert

Albert|Victor Albert Sinclair

Albert|Wesley Albert Robbins

Albert|William Albert

Albert|William Albert Atkinson

Albert|William Albert Boucher

Albert|William Albert Pommer

al-Dawalibi, Marouf|Maarouf Al Dawalibi

Aleksey (Alexius)|Aleksey Mitrofanov

Aleksey (Alexius)|Aleksey Orlov

Alemán, Roberto R.|Robert G. Allen

Alexander, Harold R.L.G.|Harold Alexander

Alexander, William V., Jr.|William Alexander

Ali, Amjad|Amjad Ali Khan

Ali, Amjad|Mohamed Ali Hasan Ali

Ali, Anwar|Ali Anwar

Ali, Anwar|Mohamed Ali Hasan Ali

Ali, Iftikar|Mohamed Ali Hasan Ali

Ali, Mahmud (Mahood)|Mahmud Mahmud

Ali, Mohammed|Ali Mohammed Ghedi

Ali, Mohammed|Garba Ali Mohammed

Ali, Mohammed|Mohamed Ahmed Alin

Ali, Mohammed|Mohamed Ali Hasan Ali

Ali, Mohammed|Mohamed Hashi

Ali, Mohammed|Mohamed Orabi

Ali, Mohammed|Mohammad Asif

Ali, Mohammed|Mohammed Haji Ali Shirwa

al-Ibrahim, Hassan|Hassan Abdallah Hassan

Ali Sastroamidjojo|Ali Sastroamidjojo

Ali Sastroamidjojo|Mohamed Ali Hasan Ali

Al-Jarbi (Jerbi), Ali|Ali Jerbi

Al-Jarbi (Jerbi), Ali|Mohamed Ali Hasan Ali

al-Kuzbari, Ma‘mun|Maamun Al Kuzbari

Allen, Heman|Heman Allen

Allen, Heman|Heman Allen

Allen, James B.|James Allen

Allen, James B.|Jamie Ballem

Allen, Mark E.|Mark Allen

Allen, Raymond B.|Raymond Raymond

Allen, William Denis|William Allen

Allen, William Denis|William Allen

Allison, John Moore|John Allison

Allison, John Moore|John Moore

Allott, Gordon|Gordon L. Allott

Alvarez, Raymond J.|Raymond Raymond

Ambegoakar, K. G.|K. G. Ambegaonkar

Amer, Abdel Hakim|Abdel Hakim Amer

Amery, Harold Julian|Julian Amery

Amin, Hafizullah|Hafizullah Amin

Amini, Ali|Mohamed Ali Hasan Ali

Amini-Majdi, Mahmud|Mahmud Mahmud

Amory, Derick Heathcoat|Derick Heathcoat Amory

Amouzegar, Jamshid|Jamshid Amouzegar

Anand Panyarachun|Anand Panyarachun

Andersen, Hans G.|Hans

Anderson, David|David Anderson

Anderson, David|David Anderson

Anderson, David|David Anderson

Anderson, David|David Anderson

Anderson, David|David W. Anderson

Anderson, Donald M.|Donald Anderson

Anderson, Jack|Jack Z. Anderson

Anderson, Jim|Jim Anderson

Anderson, John|John Alexander Anderson

Anderson, John|John Anderson

Anderson, John|John Anderson

Anderson, John|John St. John

Anderson, John|John Victor Anderson

Anderson, John|Johnny Anders

Anderson, John Alexander|John Alexander

Anderson, John Alexander|John Alexander

Anderson, John Alexander|John Alexander

Anderson, John Alexander|John Alexander Anderson

Anderson, John Alexander|John Anderson

Anderson, John Alexander|John Anderson

Anderson, John Bayard|John Anderson

Anderson, John Bayard|John Anderson

Anderson, Robert|Rob Anders

Anderson, Robert|Robert King Anderson

Anderson, Samuel W.|Samuel Anderson

Anderson, William O.|William Anderson

Anderson, William O.|William Anderson

Anderson, William O.|William Anderson

Anderson, William O.|William Anderson

Anderson, William O.|William Anderson

Andre, Larry Edward, Jr.|Larry

Andrews, George Roberts|George Roberts

Andrews, George Roberts|George Roberts

Andrews, William Whiting|William Whiting

Androutsopoulos, Adamantios|Adamantios Androutsopoulos

Aneizi (al-Unayzi), Ali|Mohamed Ali Hasan Ali

Ansary, Hushang|Hushang Ansary

Apel, Hans|Hans

Appleton, John|John St. John

Appleton, John James|John James

Aptidon, Hassan Gouled|Hassan Gouled Aptidon

Aramburu, Pedro Eugenio|Pedro Eugenio Aramburu

Araujo, Antonio Martin|Martin

Arbuthnot, Charles|Charles

Arden-Clarke, Charles N.|Charles

Aref, Ali Bourhan|Ali Aref Bourhan

Arevalo, Vinicio Cerezo|Vinicio Cerezo

Arias Madrid, Arnulfo|Arnulfo Arias

Arias Navarro, Carlos|Carlos Arias Navarro

Armand, Louis|Louis

Armitage, John A.|John Armitage

Armitage, Richard Lee|Richard Lee

Armstrong, John|John Alexander Macdonald Armstrong

Armstrong, John|John Armstrong Mackelvie

Armstrong, John|John Armstrong Smith

Armstrong, John|John St. John

Armstrong, William Park, Jr.|William Armstrong

Arnot, Charles P.|Charles

Arosemena Gómez, Otto|Otto Arosemena

Arsenjani, Hassan|Hassan Abdallah Hassan

Arthur, Owen Seymour|Owen Arthur

Asanuma, Inejiro|Inejiro Asanuma

Ashwin, Charles Robin|Charles

Aubrac, Raymond|Raymond Raymond

AuCoin, Les|Les Aucoin

Aung Gyi|Aung Gyi

Auriol, Vincent|Vincent

Austin, Warren Robinson|Warren Austin

Ayub Khan, Mohammad|Khan Mohammad Abbas Khan

Azevedo, José Baptista Pinheiro de|José Baptista Pinheiro De Azevedo

Azikiwe, Benjamin Nnamdi|Nnamdi Azikiwe

Azmi, Mahmoud|Mahmood Fahmi

Babcock, William|William Babcock

Bacon, John Edmund|John Bacon

Bacon, Robert|Robert L. Bacon

Badawi, Abdullah|Abdullahi Adamu

Badoglio, Pietro|Pietro Badoglio

Badra, Mohamed|Mohamed Abdi Mohamed

Baharmast, Qolam Mahmud|Mahmud Mahmud

Bahr, Egon|Egon Bahr

Bailey, Ronald William|William Bailey

Bakdash, Khalid|Khalid Bakdash

Baker, Howard Henry, Jr.|Henry Howard

Baker, Howard Henry, Jr.|Henry Howard

